word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
social,0.057772516,0.052624581,0.003974205,0.004696735,0.012240646,0.04165886,0.063070358,0.015021286,0.024083526,0.113537933,0.005771266,0.050903537,0.037112954,12,0.368328472,0.097612103,1,0,,,
examine,0.045656867,0.033156528,0.003974205,0.009946027,0.060064564,0.060988571,0.067406445,0.036367323,0.029750238,0.047344003,0.003206259,0.045954582,0.036984634,12,0.36808627,0.097266101,1,0,,,
concept,0.03424265,0.038631918,0.02947535,0.056360822,0.006547322,0.03032765,0.029170041,0.092499496,0.037541967,0.011836001,0.039116356,0.023330788,0.035756697,12,0.365768557,0.093955082,1,0,,,
finding,0.048271297,0.039848671,0.003146245,0.011051142,0.021349964,0.052323528,0.06070522,0.042296778,0.02797939,0.060056744,0.005130014,0.056559485,0.03572654,12,0.365711637,0.093873767,1,0,,,
project,0.0232748,0.019163865,0.028316207,0.111340251,0.000853999,0.0263284,0.010643123,0.01185891,0.025146034,0.02191852,0.090416496,0.049489549,0.034895846,12,0.364143715,0.091633879,1,0,,,
work,0.036028114,0.033764904,0.029309758,0.050006415,0.02163463,0.028994567,0.023651384,0.020555444,0.041792001,0.027617335,0.053865146,0.044540595,0.034313358,12,0.363044277,0.090063253,1,0,,,
information,0.060769545,0.059012536,0.01606241,0.020168333,0.03729127,0.046324653,0.034688697,0.021346038,0.014875119,0.035069632,0.013466287,0.049489549,0.034047006,12,0.362541542,0.08934506,1,0,,,
article,0.014985145,0.018859676,0.101838991,0.0038679,0.051239913,0.028328025,0.044543441,0.006720049,0.025146034,0.021041779,0.016031294,0.067871382,0.033372802,12,0.361268994,0.087527134,1,0,,,
classroom,0.0459757,0.049278509,0.009107552,0.02072089,0.010247983,0.05299007,0.048879528,0.025299007,0.020541831,0.029370817,0.005771266,0.08130426,0.033290618,12,0.361113871,0.08730553,1,0,,,
new,0.029077558,0.028289515,0.031793636,0.047796187,0.023627293,0.031660734,0.020497866,0.022531929,0.015583458,0.02191852,0.064766426,0.054438504,0.032665135,12,0.359933283,0.085618976,1,0,,,
well,0.03704838,0.036958882,0.026660289,0.033153425,0.042699927,0.041992131,0.035871266,0.02490371,0.025146034,0.024110372,0.035910098,0.026158762,0.032551106,12,0.359718055,0.085311507,1,0,,,
year,0.030544189,0.019924336,0.015565634,0.051940365,0.017079971,0.01899644,0.0307468,0.037157917,0.045333696,0.02191852,0.055788902,0.043833601,0.032402531,12,0.359437621,0.084910887,1,0,,,
time,0.035454215,0.029810456,0.039576454,0.041718059,0.027043287,0.031660734,0.037053835,0.017393068,0.019125153,0.020165038,0.062201419,0.025451768,0.032221124,12,0.359095218,0.08442174,1,0,,,
find,0.041958406,0.037110976,0.011425838,0.016024155,0.030743948,0.033327088,0.04572601,0.054550985,0.023375187,0.034192891,0.023726314,0.028279743,0.031703462,12,0.358118139,0.083025913,1,0,,,
strategy,0.040364241,0.044411496,0.00712045,0.03398226,0.013094644,0.045991382,0.063464548,0.041110887,0.021958509,0.03287778,0.008977524,0.020502813,0.031154711,12,0.357082381,0.081546259,1,0,,,
cognitive,0.040428008,0.043803119,0.002815062,0.00939347,0.017933969,0.057322592,0.052427235,0.042692075,0.022666848,0.057426522,0.007695021,0.011311897,0.030492985,12,0.355833383,0.079761975,1,0,,,
include,0.030735489,0.025703914,0.025335554,0.038678995,0.033305943,0.03765961,0.032717748,0.038343808,0.030458577,0.025425483,0.028856328,0.017674839,0.030408024,12,0.35567302,0.079532886,1,0,,,
web,0.045338034,0.064335832,0.033780739,0.029838082,0.001423331,0.029661108,0.0307468,0.00790594,0.003895864,0.053042818,0.016031294,0.044540595,0.030045036,12,0.354987887,0.078554124,1,0,,,
score,0.02550663,0.016882452,0.002318286,0.008288356,0.157989731,0.017663357,0.037842215,0.034390838,0.02797939,0.016658075,0.007695021,0.006362942,0.029964774,12,0.354836394,0.078337705,1,0,,,
indicate,0.042468538,0.034981658,0.004802164,0.017958105,0.038145268,0.038326151,0.050850476,0.03280965,0.018062644,0.040768447,0.007053769,0.030400723,0.029718966,12,0.354372435,0.077674906,1,0,,,
investigate,0.041575806,0.038023541,0.004967756,0.013813927,0.04099193,0.039325964,0.047302769,0.033600244,0.025500204,0.029809187,0.007053769,0.03181471,0.029481651,12,0.353924505,0.077035007,1,0,,,
propose,0.033094852,0.062966984,0.034277514,0.042270616,0.037575936,0.024995316,0.024833954,0.009091831,0.010979254,0.01095926,0.050017636,0.00989791,0.029246755,12,0.353481144,0.076401634,1,0,,,
content,0.040236708,0.047909662,0.012584981,0.024036233,0.011671313,0.040992318,0.052427235,0.021741335,0.019125153,0.031562669,0.012183783,0.034642685,0.02909284,12,0.35319063,0.075986614,1,0,,,
theory,0.02773846,0.023270407,0.013909716,0.028180411,0.05664857,0.044325027,0.023651384,0.020555444,0.029041899,0.017096445,0.033345091,0.026865755,0.028719051,12,0.35248511,0.074978728,1,0,,,
software,0.021042969,0.019924336,0.088757235,0.06989847,0.008539985,0.024662045,0.01576759,0.003557673,0.005312542,0.004383704,0.062201419,0.019088826,0.028594733,12,0.352250461,0.074643516,1,0,,,
